id_left,name_left,description_left,price_left,name_right,description_right,price_right,text_src,id_right,text_tgt,candidates,labels
340,seiko quartz le grand sport womens watch sxda04,seiko quartz le grand sport womens watch sxda04 cabochon crown sapphire crystal 50 meters water resistant,,['seiko sxda04'],[nan],[138.0],seiko quartz le grand sport womens watch sxda04. seiko quartz le grand sport womens watch sxda04 cabochon crown sapphire crystal 50 meters water resistant. nan,[407],['seiko sxda04. nan. 138.0'],"['seiko sxda04. nan. 138.0', ""sharp aquos lc-52se94u 52 ' lcd tv. 52 ' active matrix tft atsc , ntsc 16:9 1920 x 1080 hdtv. 2049.99"", 'panasonic palmcorder sdr-h40 digital camcorder. panasonic sdr-h40 40gb hard disk drive/sd hybrid camcorder with 42x optical zoom , optical image stabilization , one-touch dvd copy , and anti-shock shield. 328.88', 'sport neckband earbuds mdr as50g. nan. 32.71', 'samsung 4gb portable mltimdia plyr blk yps-s3jab / xaa. nan. 59.0', ""samsung ln32a450 32 ' 720p lcd hdtv. nan. nan"", ""olympus stylus 1050 sw 10 megapixel digital camera w / 3x optical zoom , 2.7 ' lcd , waterproof , shockproof & freezeproof , tap control , & face detection black 226455. nan. 228.95"", ""sony bravia s series kdl-46s4100 46 ' lcd tv kdl46s4100. 46 ' atsc , ntsc 16:9 1920 x 1080 hdtv. 1188.65"", 'sennheiser cx380 sennheiser cx 380 sport ii grey/orange. nan. nan', ""sony handycam dcr-sr45 digital camcorder dcrsr45. 16:9 2.7 ' hybrid lcd. 304.99""]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
341,canon color image silver scanner 8800f,canon color image silver scanner 8800f resolution of up to 4800 x 9600 color dpi enhance old photos auto-image fix usb 2.0 interface multi-image scanning windows and mac compatible silver finish,199.0,['canon canonscan 8800f flatbed scanner 2168b002'],['canon canoscan 8800f'],[235.5],canon color image silver scanner 8800f. canon color image silver scanner 8800f resolution of up to 4800 x 9600 color dpi enhance old photos auto-image fix usb 2.0 interface multi-image scanning windows and mac compatible silver finish. 199.0,[410],['canon canonscan 8800f flatbed scanner 2168b002. canon canoscan 8800f. 235.5'],"['canon canonscan 8800f flatbed scanner 2168b002. canon canoscan 8800f. 235.5', ""canon powershot sd880 is digital camera silver 3197b001. canon powershot sd880 is 10 megapixel digital camera w / ua lens , 4x optical zoom , 28mm wide lens , optical image stabilizer , & purecolor ii 3 ' lcd silver. 246.88"", 'canon pixma mx310 multifunction photo printer 2184b002. canon pixma mx310 office all-in-one printer , scanner , copier and fax with high-speed auto document feeder. 89.99', 'canon powershot sd990 is 14 megapixel digital camera w / 3.7 x optical zoom , ua len , face detection , 2.5 lcd , & iso 1600 silver 3191b001. nan. 299.88', 'canon pixma mp480 color inkjet all-in-one photo printer 2918b002. nan. nan', 'canon pixma mp980 wireless all-in-one color photo inkjet printer 2922b002. nan. nan', ""canon eos rebel xsi digital slr camera silver 2757b001. 12.2 megapixel 3 ' active matrix tft color lcd. nan"", ""canon powershot sx110 is digital camera silver 2666b001. canon powershot sx110 is 9 megapixel digital camera w / 10x optical zoom , 3 ' lcd , iso 1600 , optical image stabilizer silver. nan"", 'canon pixma ip4600 inkjet color photo printer 2909b002. nan. nan', 'canon powershot sd1100 is digital elph camera swing silver 2508b001. canon powershot sd1100 is 8 megapixels , iso 1600 , 3x optical zoom digital camera swing silver. nan']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
344,linksys wireless-g broadband router wrt54gl,linksys wireless-g broadband router wrt54gl all-in-one internet-sharing router 4-port switch push button setup feature tkip and aes encryption wireless mac address filtering powerful spi firewall 54mbps wireless-g ( 802.11 g ) access point,79.0,['linksys wireless-g wrt54gl broadband router'],['linksys wrt54gl wireless-g broadband router'],[nan],linksys wireless-g broadband router wrt54gl. linksys wireless-g broadband router wrt54gl all-in-one internet-sharing router 4-port switch push button setup feature tkip and aes encryption wireless mac address filtering powerful spi firewall 54mbps wireless-g ( 802.11 g ) access point. 79.0,[110],['linksys wireless-g wrt54gl broadband router. linksys wrt54gl wireless-g broadband router. nan'],"['linksys wireless-g wrt54gl broadband router. linksys wrt54gl wireless-g broadband router. nan', 'linksys wrv54g wireless-g vpn broadband router. nan. nan', 'linksys rangeplus wrt160n 4-port wireless-n broadband router wrt160n. linksys ultra rangeplus wireless-n broadband router. nan', 'linksys g wireless-g wet54g wireless bridge. 54mbps 1 x 10/100base-tx. nan', 'linksys wireless-n wrvs4400n gigabit security router with vpn. 4 x lan. nan', 'linksys wireless-g range expander wireless bridge wre54g. 54mbps. nan', 'linksys wrt610n simultaneous dual-n band wireless router. nan. nan', 'linksys wpsm54g wireless-g usb print server. 1 x 10/100base-tx network , 1 x usb wi-fi ieee 802.11 b/g. nan', 'linksys wireless-g internet video camera wvc54gca. cmos wireless wi-fi , wireless wi-fi , cable , cable. nan', 'linksys wap4400n wireless-n access point with poe wap4400n. linksys wireless-n access point with power over ethernet high-speed wireless access for existing networks !. nan']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
345,canon eos 40d digital slr camera and 28-135mm lens eos40d28135,"canon eos 40d digital slr camera and 28-135mm lens eos40d28135 10.1 megapixel cmos sensor digic iii image processor auto pop-up , retractable , built-in flash 3.0 ' tft color liquid-crystal monitor af system with 9 cross-type sensors includes 28-135mm lens 1901b017 black finish",,['canon eos 40d digital slr camera with ef 28-135mm f/3 .5 -5.6 is usm lens 1901b017'],['canon eos 40d digital slr camera with 28-135mm lens'],[1029.88],"canon eos 40d digital slr camera and 28-135mm lens eos40d28135. canon eos 40d digital slr camera and 28-135mm lens eos40d28135 10.1 megapixel cmos sensor digic iii image processor auto pop-up , retractable , built-in flash 3.0 ' tft color liquid-crystal monitor af system with 9 cross-type sensors includes 28-135mm lens 1901b017 black finish. nan",[419],['canon eos 40d digital slr camera with ef 28-135mm f/3 .5 -5.6 is usm lens 1901b017. canon eos 40d digital slr camera with 28-135mm lens. 1029.88'],"['canon eos 40d digital slr camera with ef 28-135mm f/3 .5 -5.6 is usm lens 1901b017. canon eos 40d digital slr camera with 28-135mm lens. 1029.88', ""canon eos 50d 15 megapixel slr digital camera w/28 -135 mm is usm lens , live view & face detection , 3 ' lcd , 6.3 fps , digic 4 image processor & hdmi output 2807b005. nan. 1301.3"", 'canon eos 40d digital slr camera 1901b004. canon eos 40d 10 megapixel digital slr camera body only. 849.95', ""canon eos 50d 15 megapixel slr digital camera with live view & face detection , 3 ' lcd , 6.3 fps & digic 4 image processor body only 2807b006. nan. 1127.95"", ""canon eos rebel xs digital slr camera with ef-s 18-55mm 1:3.5 -5.6 is lens black 2762b003. canon eos rebel xs digital slr camera with 10 megapixel , 2.5 ' lcd , 3 frames per sec & live view mode black. 461.96"", 'canon eos rebel xsi digital slr camera with ef-s 18-55mm f/3 .5 -5.6 is lens black 2756b003. canon eos rebel xsi 12 megapixel digital slr camera with 18-55mm is lens black. 649.88', 'canon eos rebel xsi digital slr camera with ef-s 18-55mm f/3 .5 -5.6 is lens silver 2757b003. canon eos rebel xsi 12 megapixel digital slr camera with 18-55mm is lens silver. 649.88', ""canon eos rebel xsi digital slr camera silver 2757b001. 12.2 megapixel 3 ' active matrix tft color lcd. nan"", ""canon eos 5d mark ii digital slr camera 2764b003. 21.1 megapixel 16:9 3 ' active matrix tft color lcd. 3699.99"", ""canon powershot g10 14 megapixel digital camera w / 28mm wide lens , 5x optical zoom , 3 ' lcd , face detection & red eye correction 2663b001. nan. 409.88""]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
346,universal rf base station mrf260,"universal rf base station mrf260 extends the reception range up to 100 feet away through walls , floors , doors , indoors or outdoors programmed to operate equipment at up to 15 locations black finish",149.0,['universal remote control mrf-260 barrier-free addressable rf base station'],[nan],[86.25],"universal rf base station mrf260. universal rf base station mrf260 extends the reception range up to 100 feet away through walls , floors , doors , indoors or outdoors programmed to operate equipment at up to 15 locations black finish. 149.0",[436],['universal remote control mrf-260 barrier-free addressable rf base station. nan. 86.25'],"['universal remote control mrf-260 barrier-free addressable rf base station. nan. 86.25', 'universal remote control mrf-350 addressable narrow band rf base station with rfx-250 antenna. nan. 174.72', 'universal aeros ir/rf remote control mx850. tv , dvd player , audio receivers , cable box , satellite receiver , pvr ( personal video recorder ) 100 ft universal remote. 256.99', 'universal mastercontrol universal learning remote control rf20. audio/video , tv , vcr , dvd player , cd player , cable box , dvr , audio system , tape deck , pc , satellite radio , ipod , xbox 360 , lighting system 50 ft , 100 ft universal remote. nan', 'universal mx-350 osiris remote control mx350. tv , vcr , dvd player , cd player , cable box , satellite receiver , dvr , audio receivers 100 ft universal remote. 93.9', 'sanus mf215-b1 extending full motion mount. 60 lb. nan', 'directed electronics antenna extension cable 14230. smb 50ft. nan', 'logitech harmony rf extender 915-000044. nan. nan', 'sirius outdoor home antenna 14240. 42 dbi smb. nan', 'sony remote control rmv310. tv , vcr , dvd player , cable box , satellite receiver , amplifier , cd player , dvr 23 ft universal remote. 14.72']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
347,sony hd-handycam 1.5 meters ( 5 feet ) hdmi mini cable vmc15mhd,sony hd-handycam 1.5 meters ( 5 feet ) hdmi mini cable vmc15mhd gold plating plug hdmi-compliant high speed category 2 cable support full hd 1080p digital audio transfer 1.5 meters ( 5 feet ) black finish,,['sony high definition hdmi to mini-hdmi cable vmc15mhd'],['1 x hdmi 1 x mini-hdmi 4.92 ft'],[26.95],sony hd-handycam 1.5 meters ( 5 feet ) hdmi mini cable vmc15mhd. sony hd-handycam 1.5 meters ( 5 feet ) hdmi mini cable vmc15mhd gold plating plug hdmi-compliant high speed category 2 cable support full hd 1080p digital audio transfer 1.5 meters ( 5 feet ) black finish. nan,[441],['sony high definition hdmi to mini-hdmi cable vmc15mhd. 1 x hdmi 1 x mini-hdmi 4.92 ft. 26.95'],"['sony high definition hdmi to mini-hdmi cable vmc15mhd. 1 x hdmi 1 x mini-hdmi 4.92 ft. 26.95', 'sony hdmi mini cable vmc30mhd. 1 x mini type c hdmi 1 x type a hdmi 10ft. 36.95', ""sony handycam dcr-hc52 digital camcorder dcrhc52. 16:9 2.5 ' color lcd. 229.0"", 'sony vrdmc5 digital video recorder. dvd + rw , dvd-rw , dvd + r , memory stick , memory stick duo , secure digital ( sd ) card , xd-picture card , compactflash ( cf ) dvd video , mp3 1 disc 12hour recording. 166.29', 'monster cable gamelink hdmi digital video/audio cable for playstation 3 1 x hdmi 6.56 ft ps3 hdmi-2m. nan. 55.79', 'tripp lite video cable p502-025. 1 x hd-15 1 x hd-15 25ft black. nan', 'sony high definition mini dv cassette dsl-190-b. sony dvm-63 hd high-definition minidv videocassette. nan', ""sony handycam hdr-sr10 high definition digital camcorder hdrsr10. 16:9 2.7 ' hybrid lcd. 549.0"", 'canon vixia hg20 high definition camcorder 3085b001aa. nan. 557.64', ""handycam hdr-ux10 dvd camcorder ( 15x opt , 180x dig , 2.7 ' lcd ) hdrux10. nan. 768.24""]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
350,sony white cybershot t series digital camera jacket case with stylus lcjthcw,sony white cybershot t series digital camera jacket case with stylus lcjthcw for 2007 cybershot t series camera stylus included custom-fitted white finish,,['sony lcj-thc/b jacket case with stylus lcj-thc/w'],['leather white'],[35.08],sony white cybershot t series digital camera jacket case with stylus lcjthcw. sony white cybershot t series digital camera jacket case with stylus lcjthcw for 2007 cybershot t series camera stylus included custom-fitted white finish. nan,[444],['sony lcj-thc/b jacket case with stylus lcj-thc/w. leather white. 35.08'],"['sony lcj-thc/b jacket case with stylus lcj-thc/w. leather white. 35.08', 'sony lcs-twa/b cyber-shot camera case lcstwa/b. top loading leather black. 34.0', 'sony lcs-csq soft cyber-shot camera case lcscsq/b. top loading polyamide black. nan', 'sony lcs-csl cyber-shot camera case. top loading leather black. nan', 'sony lcs-twa/r cyber-shot camera case. top loading leather red. 27.92', 'sony lcs-csh soft camera case lcscsh. top loading polypropylene black. nan', 'sony lcs-csj soft camera case lcscsj. top loading polyamide black. nan', 'sony lcs soft carrying case lcscst. sony lcs-cst soft carrying case for ultra-compact digital cameras. 9.95', 'sony camcorder case lcsx30. nylon , polyester. nan', 'sony lcs-x20 camcorder case lcsx20. nylon , polyamide black. nan']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
351,sony universal remote commander remote control rmv310,sony universal remote commander remote control rmv310 controls up to 7 av components compatible with most of major brands comfortable ergonomic design silver finish,,['sony remote control rmv310'],"['tv , vcr , dvd player , cable box , satellite receiver , amplifier , cd player , dvr 23 ft universal remote']",[14.72],sony universal remote commander remote control rmv310. sony universal remote commander remote control rmv310 controls up to 7 av components compatible with most of major brands comfortable ergonomic design silver finish. nan,[205],"['sony remote control rmv310. tv , vcr , dvd player , cable box , satellite receiver , amplifier , cd player , dvr 23 ft universal remote. 14.72']","['sony remote control rmv310. tv , vcr , dvd player , cable box , satellite receiver , amplifier , cd player , dvr 23 ft universal remote. 14.72', 'sony learning remote control rmvl600. tv , dvd player , vcr , cd player , satellite receiver , dvr 32.81 ft universal remote. 19.99', 'sony universal remote control rm-ez4. tv , cable box universal remote. 12.72', 'universal mastercontrol universal learning remote control rf20. audio/video , tv , vcr , dvd player , cd player , cable box , dvr , audio system , tape deck , pc , satellite radio , ipod , xbox 360 , lighting system 50 ft , 100 ft universal remote. nan', 'universal aeros ir/rf remote control mx850. tv , dvd player , audio receivers , cable box , satellite receiver , pvr ( personal video recorder ) 100 ft universal remote. 256.99', 'universal mx-350 osiris remote control mx350. tv , vcr , dvd player , cd player , cable box , satellite receiver , dvr , audio receivers 100 ft universal remote. 93.9', 'sony playstation 3 blu-ray dvd remote 98046. nan. 18.44', 'universal remote control mrf-350 addressable narrow band rf base station with rfx-250 antenna. nan. 174.72', 'logitech harmony 890 advanced universal remote hdtv , tv , dvd player ( s ) , lighting , audio system 100 ft universal remote 966193-0403. nan. 335.11', 'sony sb-v40s a/v selector sbv40s. vcr , camcorder , av receiver , video game console , tv , laser disc player , dvd player compatible 4 x s-video in , 4 x composite video in , 4 x stereo audio line in , 1 x s-video out , 1 x composite video out , 1 x stereo a. nan']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
352,omnimount 42 ' 63 ' wishbone cantilever extra large flat panel tv silver wall mount uclxb,omnimount 42 ' 63 ' wishbone cantilever extra large flat panel tv silver wall mount uclxb double stud mounting dual arm cantilever mount lift n lock for easy installation integrated cable management supports up to 200 lbs,,['omnimount wishbone large/x-large premium cantilever mount and universal adapter ucl-xb'],['200 lb'],[292.92],omnimount 42 ' 63 ' wishbone cantilever extra large flat panel tv silver wall mount uclxb. omnimount 42 ' 63 ' wishbone cantilever extra large flat panel tv silver wall mount uclxb double stud mounting dual arm cantilever mount lift n lock for easy installation integrated cable management supports up to 200 lbs. nan,[293],['omnimount wishbone large/x-large premium cantilever mount and universal adapter ucl-xb. 200 lb. 292.92'],"['omnimount wishbone large/x-large premium cantilever mount and universal adapter ucl-xb. 200 lb. 292.92', 'omnimount ultra low profile ulpt-l flat panel wall mount ulpt-l a. 200 lb anthracite. 278.95', 'omnimount tv top shelf mount cch1p. steel 30 lb. nan', 'sanus visionmount lt25-b1 tilting wall mount. 175 lb black. nan', 'sanus visionmount tilting flat panel tv wall mount mt25-b1. steel 100 lb. nan', 'omnimount universal wall speaker mounting kit 20.0 wall-b. stainless steel 20 lb. 24.34', 'sanus flat panel tv wall mount vmpl50-b. steel 130 lb. nan', 'sanus lrf118-b1 full motion wall tv mount. 130 lb black. nan', 'omnimount stainless steel speaker mount 20.0 wall-w. stainless steel 20 lb. nan', 'sanus visionmount flat panel tv wall mount vmpl3b. steel 280 lb. 144.05']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
353,sony universal remote control rmez4,sony universal remote control rmez4 easy-to-use simplified functions controls tv and cable box compatible with most of major brands large buttons for easy operation 3-minute memory backup comfortable ergonomic design silver finish,16.0,['sony universal remote control rm-ez4'],"['tv , cable box universal remote']",[12.72],sony universal remote control rmez4. sony universal remote control rmez4 easy-to-use simplified functions controls tv and cable box compatible with most of major brands large buttons for easy operation 3-minute memory backup comfortable ergonomic design silver finish. 16.0,[433],"['sony universal remote control rm-ez4. tv , cable box universal remote. 12.72']","['sony universal remote control rm-ez4. tv , cable box universal remote. 12.72', 'sony remote control rmv310. tv , vcr , dvd player , cable box , satellite receiver , amplifier , cd player , dvr 23 ft universal remote. 14.72', 'sony learning remote control rmvl600. tv , dvd player , vcr , cd player , satellite receiver , dvr 32.81 ft universal remote. 19.99', 'universal aeros ir/rf remote control mx850. tv , dvd player , audio receivers , cable box , satellite receiver , pvr ( personal video recorder ) 100 ft universal remote. 256.99', 'universal mastercontrol universal learning remote control rf20. audio/video , tv , vcr , dvd player , cd player , cable box , dvr , audio system , tape deck , pc , satellite radio , ipod , xbox 360 , lighting system 50 ft , 100 ft universal remote. nan', 'universal mx-350 osiris remote control mx350. tv , vcr , dvd player , cd player , cable box , satellite receiver , dvr , audio receivers 100 ft universal remote. 93.9', 'sony playstation 3 blu-ray dvd remote 98046. nan. 18.44', 'logitech harmony 890 advanced universal remote hdtv , tv , dvd player ( s ) , lighting , audio system 100 ft universal remote 966193-0403. nan. 335.11', 'universal remote control mrf-350 addressable narrow band rf base station with rfx-250 antenna. nan. 174.72', 'logitech harmony 890 advanced universal remote 966193-0403. nan. 248.9']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
354,sirius siriusconnect home tuner sch1,sirius siriusconnect home tuner sch1 compact size analog and digital audio outputs display indicators connects to any sirius-ready home audio component,49.0,['directed electronics sch1 siriusconnect home tuner'],['sirius sch1 siriusconnect home tuner'],[54.92],sirius siriusconnect home tuner sch1. sirius siriusconnect home tuner sch1 compact size analog and digital audio outputs display indicators connects to any sirius-ready home audio component. 49.0,[276],['directed electronics sch1 siriusconnect home tuner. sirius sch1 siriusconnect home tuner. 54.92'],"['directed electronics sch1 siriusconnect home tuner. sirius sch1 siriusconnect home tuner. 54.92', 'sirius suph1 sirius universal home kit. sirius satellite radio receiver. 44.99', 'sirius srh1000 polk audio designs ? dual zone home tuner. nan. nan', 'sirius slh2 sirius ? stiletto 2 portable radio home kit. nan. nan', 'directed electronics sportster 4 sirius satellite radio receiver sp4tk1. xs fm transmitter 6 lines lcd. 169.99', 'directed electronics starmate 4 sirius satellite radio receiver st4tk1. xs fm transmitter 5 lines lcd. 104.93', 'kenwood kca-sr50 sirius radio translator for in-dash head units. nan. 42.36', 'sirius scc1 universal vehicle tuner. nan. 64.72', 'sirius scvdoc1 siriusconnect ? universal vehicle kit. nan. nan', 'directed electronics supv1 car kit. sirius satellite radio receiver. nan']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
355,frigidaire gld4355rfb gallery speedclean 24 ' black dishwasher gld4355bk,frigidaire gld4355rfb gallery speedclean 24 ' black dishwasher gld4355bk 5-level precision direct wash system variable washing pressure power dry drying system granitegrey interior stainless steel food disposer and self cleaning filter 12 easy clean electronic touchpads with digital display smart soil sensor ultraquiet plus sound insulation package black finish,,"[""frigidarie gld4355rf 24 ' gallery speed clean dishwasher ( black )""]",[nan],[451.29],frigidaire gld4355rfb gallery speedclean 24 ' black dishwasher gld4355bk. frigidaire gld4355rfb gallery speedclean 24 ' black dishwasher gld4355bk 5-level precision direct wash system variable washing pressure power dry drying system granitegrey interior stainless steel food disposer and self cleaning filter 12 easy clean electronic touchpads with digital display smart soil sensor ultraquiet plus sound insulation package black finish. nan,[860],"[""frigidarie gld4355rf 24 ' gallery speed clean dishwasher ( black ). nan. 451.29""]","[""frigidarie gld4355rf 24 ' gallery speed clean dishwasher ( black ). nan. 451.29"", ""frigidaire gld4355rfs gallery series 24 ' under counter dishwasher. nan. 443.81"", ""frigidaire fdb130rgs 24 ' built-in dishwasher ( white ). nan. 246.54"", 'pld4375rfc professional speedclean 24-in . under counter dishwasher ( 14 place settings , stainless steel ). nan. 543.29', 'pld4555rfc professional speedclean 24-in . under counter dishwasher ( 14 place settings , stainless steel , energy star ). nan. 549.0', 'lg ldf6920st fully integrated dishwasher with 5 wash cycles , 3 spray arms , senseclean system , delay start , food disposer and self-clean filter : stainless steel. nan. nan', 'ge gsd2400nww dishwasher with 5 wash cycles gsd2400nww. nan. 272.01', 'maytag mdb7851awb full console dishwasher ( black ). nan. nan', 'ge gsd4000nww dishwasher with 5 wash cycles std tub estar ( white ) gsd4000nww. nan. 313.29', 'full console dishwasher with 4 automatic cycles du1055xtsb. nan. 378.29']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
357,speck black toughskin ipod classic case icblkts,speck black toughskin ipod classic case icblkts rubberized corners provide extra protection removable belt clip made from strong tear resistant material fits 80gb/160gb ipod classic black finish,,['speck products toughskin for ipod classic ic-blk-ts'],['rubber black'],[12.95],speck black toughskin ipod classic case icblkts. speck black toughskin ipod classic case icblkts rubberized corners provide extra protection removable belt clip made from strong tear resistant material fits 80gb/160gb ipod classic black finish. nan,[432],['speck products toughskin for ipod classic ic-blk-ts. rubber black. 12.95'],"['speck products toughskin for ipod classic ic-blk-ts. rubber black. 12.95', 'contour showcase classic for ipod classic 80 gb sh-cls80-b02. plastic , rubber clear. nan', ""speck products seethru case for apple 13 ' macbook mb13-blk-see-v2. plastic black. nan"", ""speck products seethru case for apple 13 ' macbook mb13-blu-see-v2. plastic blue. nan"", '3g iphone black toughskin iph3g-blk-ts. nan. 10.0', '4g nano toughskin black nn4-ts-blk. nan. 18.58', ""speck products seethru case for apple 13 ' macbook mb13-aqu-see-v2. plastic aqua. nan"", ""speck products seethru case for apple 13 ' macbook mb13-grn-see-v2. plastic green. nan"", ""speck products seethru case for apple 13 ' macbook mb13-clr-see-v2. plastic clear. nan"", 'speck products seethru case for apple macbook air mba-clr-see. plastic clear. nan']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
359,sanus 15 ' 32 ' flat panel tv black wall mount mf209b1,sanus 15 ' 32 ' flat panel tv black wall mount mf209b1 mf209b1 supports up to 60 lbs easy to install virtual axis 3d tilting system black finish,96.0,['sanus mf209-b1 full motion wall tv mount'],['60 lb'],[nan],sanus 15 ' 32 ' flat panel tv black wall mount mf209b1. sanus 15 ' 32 ' flat panel tv black wall mount mf209b1 mf209b1 supports up to 60 lbs easy to install virtual axis 3d tilting system black finish. 96.0,[308],['sanus mf209-b1 full motion wall tv mount. 60 lb. nan'],"['sanus mf209-b1 full motion wall tv mount. 60 lb. nan', 'sanus visionmount flat panel tv wall mount mf110-b1. steel , aluminum 100 lb. nan', 'sanus visionmount lt25-b1 tilting wall mount. 175 lb black. nan', 'sanus visionmount tilting flat panel tv wall mount mt25-b1. steel 100 lb. nan', 'sanus flat panel tv wall mount vm1b. aluminum 50 lb. 69.99', 'sanus mf215-b1 extending full motion mount. 60 lb. nan', 'sanus visionmount flat panel tv wall mount vmpl3b. steel 280 lb. 144.05', 'sanus flat panel tv wall mount vmpl50-b. steel 130 lb. nan', 'sanus visionmount flat panel tv wall mount ml22-b1. steel 100 lb. nan', 'sanus lrf118-b1 full motion wall tv mount. 130 lb black. nan']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
360,nikon vr 55-200mm zoom-nikkor lens accessory 2166,nikon vr 55-200mm zoom-nikkor lens accessory 2166 3.6 x zoom 55 200mm vibration reduction silent wave motor for quiet autofocusing ed glass element,,['nikon 55-200mm f/4 -5.6 g ed if af-s dx vr zoom telephoto nikkor lens niko_216687518'],[nan],[189.95],nikon vr 55-200mm zoom-nikkor lens accessory 2166. nikon vr 55-200mm zoom-nikkor lens accessory 2166 3.6 x zoom 55 200mm vibration reduction silent wave motor for quiet autofocusing ed glass element. nan,[358],['nikon 55-200mm f/4 -5.6 g ed if af-s dx vr zoom telephoto nikkor lens niko_216687518. nan. 189.95'],"['nikon 55-200mm f/4 -5.6 g ed if af-s dx vr zoom telephoto nikkor lens niko_216687518. nan. 189.95', 'nikon 55-200mm f/4 -5.6 g ed af-s dx telephoto zoom lens 55200mmlens. 0.28 x 55mm to 200mm f/4 to 5.6. 124.95', 'nikon 18-200mm 3.5-5 .6 g ed dx afs vr zoom wide angle nikkor lens niko_215930348. nan. 629.0', 'nikon nikkor 70-300mm f/4 .5 -5.6 g ed-if af-s vr telephoto zoom lens 2161. f/4 .5 to 5.6. 449.0', ""nikon d60 digital slr camera with af-s dx nikkor 18-55mm f/3 .5 -5.6 g vr lens 25438. nikon d60 10 megapixel digital slr camera with af-s dx nikkor 18-55mm f/3 .5 -5.6 g vr lens 3x optical zoom 2.5 ' active matrix tft color lcd. nan"", 'canon ef-s 55-250mm f/4 -5.6 is telephoto zoom lens 2044b002. 55mm to 250mm f/4 to 5.6. 232.98', ""nikon d90 digital slr camera with af-s dx nikkor 18-105mm f/3 .5 -5.6 g ed vr lens 25448. nikon d90 12 megapixel digital slr camera w / 3 ' lcd , live view , 18-105mm lens , 4.5 fps burst & in-camera image editing. 1159.88"", ""nikon coolpix s60 10 megapixel digital camera w / 5x optical zoom , optical vr image stabilization , 3.5 ' high res touch panel lcd , hd pictmotion slide shows , & autofocus and auto exposure pink 26132. nan. 259.88"", ""nikon coolpix s210 digital camera plum 26103. nikon coolpix s210 8 megapixel digital camera with 3x optical zoom-nikkor , iso2000 , 2.5 ' lcd & vr image stabilization plum. 118.72"", ""nikon coolpix p6000 13 megapixels digital camera w / 4x wide angle optical zoom , 2.7 ' hi-res lcd , optical vr image stabilization , face priority af & tv movies with sound black 26135. nan. nan""]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
361,yamaha high performance subwoofer in black ystfsw150bk,yamaha high performance subwoofer in black ystfsw150bk 130 watts dynamic power advanced yst ii ( yamaha active servo technology ) linear port powerful 6.5 ? multi-range driver magnetically shielded 30 -150 hz low frequency response down-firing active design best matching for front surround systems and micro component systems black finish,279.0,['yamaha yst-fsw150 subwoofer yst-fsw150bl'],['yamaha new shaped subwoofers with advanced yst ii and down-firing active design ( 130w )'],[nan],yamaha high performance subwoofer in black ystfsw150bk. yamaha high performance subwoofer in black ystfsw150bk 130 watts dynamic power advanced yst ii ( yamaha active servo technology ) linear port powerful 6.5 ? multi-range driver magnetically shielded 30 -150 hz low frequency response down-firing active design best matching for front surround systems and micro component systems black finish. 279.0,[477],['yamaha yst-fsw150 subwoofer yst-fsw150bl. yamaha new shaped subwoofers with advanced yst ii and down-firing active design ( 130w ). nan'],"['yamaha yst-fsw150 subwoofer yst-fsw150bl. yamaha new shaped subwoofers with advanced yst ii and down-firing active design ( 130w ). nan', ""yamaha ystfsw100 subwoofer yst-fsw100bl. yamaha yst-fsw100 6.5 ' 130-watt powered sub-woofer - black. nan"", 'yamaha yht-390bl home theater system yht-390bl. , 5.1 speakers progressive scan 600w rms black. 319.96', 'polkaudio psw series psw110 powered subwoofer. woofer cable. 249.95', 'yamaha ns-aw190 all-weather speaker system ns-aw190bl. 2-way speaker cable black. 51.72', 'yamaha outdoor ns-aw390 all-weather speaker system ns-aw390bl. 2-way speaker cable black. 78.89', 'bose acoustimass 5 series iii speaker system 21725. 2.1-channel black. 359.0', 'polkaudio csi a6 black high performance center channel loudspeaker am6615-a. nan. 449.95', 'yamaha ysp-4000 digital sound projector black ysp-4000bl. nan. nan', 'yamaha outdoor ns-aw390 all-weather speaker system ns-aw390wh. 2-way speaker cable white. 79.96']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
