id_left,title_left,manufacturer_left,price_left,id_right,title_right,manufacturer_right,price_right,guid,label
1004,professor teaches excel & word,individual software,19.99,794,individual software professor teaches excel & word,,19.99,train-1004-794,yes
1264,punch ! professional home design suite,punch ! software,69.99,2273,punch software 35100 punch ! professional home design suite ( small box ),punch software,62.99,train-1264-2273,yes
1234,logic express 6,apple,299.99,2593,apple software t9164ll/a logic express 6,apple software,219.0,train-1234-2593,yes
905,efrontier anime studio pro ( win/mac ),efrontier,199.99,166,allume anime studio pro,,179.99,train-905-166,yes
480,jumpstart world 1st grade,knowledge adventure,19.99,2105,jumpstart phonics ( jc ),,9.9,train-480-2105,no
202,the computrace lojack for laptops computer tracking and loss control solution by,lenovo,,2209,absolute software lfl-n2-36 computrace lojack for laptops 3 year license ( win 2000 xp ),,85.97,train-202-2209,no
883,adobe creative suite cs3 production premium,adobe,1699.0,1763,29500244 adobe creative suite 3 design premium product upgrade package 1 user upgra,,1687.48,train-883-1763,no
550,windows vista business spanish full version [ dvd ],microsoft,329.95,2959,microsoft windows vista business full version,,249.95,train-550-2959,no
688,phase one capture one le,phase one,,2608,phase one capture-one pro dslr raw image editing software for macintosh & windows .,,399.95,train-688-2608,no
1115,punch ! master landscape professional & home design v 10.0,punch ! software,69.95,3060,resume maker professional 12,,17.95,train-1115-3060,no
748,rollercoaster tycoon 3 : soaked,aspyr media,19.99,351,rollercoaster tycoon 3 soaked,,23.99,train-748-351,yes
1190,punch ! professional home design,punch ! software,89.99,1955,punch software 85100 master landscape professional & home design v 10.0,,61.8,train-1190-1955,no
457,national geographic presents : redshift 5 planetarium software,topics entertainment,39.99,2622,redshift 5 ( national geographic presents ) ( win 98 me 2000 xp ),,39.99,train-457-2622,yes
488,star wars battlefront ( mac ),aspyr media,39.99,2415,aspyr media 10900 star wars battlefront mac,aspyr media,39.99,train-488-2415,yes
231,red hat enterprise linux ws v. 4 update 4 license 1 workstation rl296aa ),hewlett packard,,1912,83076 smarterm enterprise suite v. 12.1 upgrade license 1 user win,,146.42,train-231-1912,no
1145,microsoft office 2004 standard ( mac ),microsoft,399.99,2816,microsoft word 2007 upgrade ( pc ),,109.95,train-1145-2816,no
1246,peachtree by sage complete accounting 2007,sage software,269.99,1256,peachtree ( r ) compatible continuous forms-accounting for windows 8.0-2004 version,,199.99,train-1246-1256,no
514,microsoft windows vista ultimate upgrade [ dvd ],microsoft,259.95,915,microsoft office 2004 std upgrade,,219.99,train-514-915,no
1356,sentinel : descendants in time,dreamcatcher interactive,19.99,624,dreamcatcher interactive sentinel : descendants in time,,17.55,train-1356-624,yes
400,pokemon team turbo ( jewel case ),valusoft,9.99,3106,geometry ( win/mac ) ( jewel case ) ( 10158 ),,9.59,train-400-3106,no
1241,quicken legal business pro 2007,nolo press,79.99,3038,quicken 2007 deluxe win cd,intuit,57.99,train-1241-3038,no
602,adobe creative suite cs3 design standard upgrade [ mac ],adobe,399.0,99,19500220 adobe creative suite 3 design premium product upgrade package 1 user upgra,,1687.48,train-602-99,no
1028,makemusic finale 2007 win/mac,emedia,600.0,2296,make finale 2007 software educational discount music production software,,289.95,train-1028-2296,no
1312,sales skills 2.0 ages 10 +,victory multimedia,19.95,665,simply magazine sales skills,,3.1,train-1312-665,yes
615,adobe creative suite cs3 design standard upgrade,adobe,399.0,1678,adobe creative suite ( v3 .0 ) design premium mac adobe 19500009,,1482.0,train-615-1678,no
1285,black & white platinum pack ( mac ),feral interactive,29.99,497,feral interactive limited black & white platinum pack,,27.37,train-1285-497,yes
1304,piano wizard premier software & stickers & midi cable,re : launch,149.95,2329,intuit quicken premier 2007 software for windows tax & finance software,,73.95,train-1304-2329,no
513,mavis beacon typing 17 ( win/mac ),encore software,19.99,2055,encore software 10076 mavis beacon typing 17 standardby broderbund,,17.97,train-513-2055,yes
829,avid liquid vs 7 software,avid technology,888.75,2766,avid liquid 7.0 professional video editing software for windows professional editing software,,439.95,train-829-2766,yes
772,adobe illustrator cs3 [ mac ],adobe,599.0,986,adobe photoshop cs3 for mac,,609.99,train-772-986,no
1197,finale 2007 academic ( win/mac ),emedia,350.0,575,makemusic finale 2007 academic create edit and print sheet music,,269.0,train-1197-575,yes
1257,total 3d home & landscape design suite version 9,individual software,39.99,462,individual software inc total 3d home & landscape deluxe 9,,33.5,train-1257-462,yes
974,sony vegas movie studio + dvd 8 platinum edition,sony media,129.95,9,vegas movie studiodvd +8 plat,sony creative software,92.99,train-974-9,no
797,zero-g pro pack for garageband ( appleloops ),zero-g,169.95,996,apple garageband jam pack : rhythm section,,95.99,train-797-996,no
135,microsoft crm professional cal 3.0 product upgrade license pack user cal,microsoft software,9980.0,1763,29500244 adobe creative suite 3 design premium product upgrade package 1 user upgra,,1687.48,train-135-1763,no
109,instant immersion french 2.0,topics entertainment,29.99,307,topics entertainment instant immersion german audio,,12.05,train-109-307,no
17,upg sgms 1000 incremental node,sonic-systems-inc .,,1985,sonicwall gms 1000 upgrade,,63074.12,train-17-1985,yes
733,clickart 1.2 million dvd 2006 by broderbund,encore software,49.99,2934,encore software 10466 clickart 1.2 million dvd 2006 by broderbund,,41.97,train-733-2934,yes
948,creating keepsakes scrapbook platinum v. 3 sb cs by riverdeep,encore software,39.99,2282,encore software 10610 encore creating keepsakes scrapbook designer platinum complete product creativity application 1 user complete product standard pc,,33.97,train-948-2282,yes
1076,the print shop 22 sb cs by the print shop,encore software,,3180,the print shop ( r ) elements : labels logos & more,,19.99,train-1076-3180,no
89,everquest : titanium,sony-creative-software,19.95,1616,sony online entertainment inc 41032 everquest : titanium win 2000 xp,sony-creative-software,23.09,train-89-1616,yes
1225,sony acid pro 6 professional music workstation,sony-pictures-digital-entertainment,499.95,1086,sony media software acid pro 6 software music production software,sony-pictures-digital-entertainment,299.95,train-1225-1086,yes
471,photoshop elements 4 mac retail eng 1u ( 19230169 ),adobe,145.39,750,adobe photoshop elements 4.0 photo-editing software for mac,,85.95,train-471-750,yes
982,power on now up to date & contact windows,power-on-software,129.99,2224,now software nuw45e1k now up-to-date & contact for windows,power-on-software,114.99,train-982-2224,yes
589,quicken 2007 deluxe,intuit,59.95,3038,quicken 2007 deluxe win cd,intuit,57.99,train-589-3038,yes
138,sonicwall gms standard edition 10 node license,sonicwall,,1819,01-ssc-7309 sonicwall cfs standard edition for sonicwall pro 1260/2040/3060 / 4060 subscript,,2124.92,train-138-1819,no
653,3d home architect home design deluxe version 9,encore,29.99,313,encore inc 3d home architect home design deluxe version 9,,25.49,train-653-313,yes
449,boomerang webpage designer gold,boomerang,,2149,web page designer gold,,36.9,train-449-2149,yes
1258,punch ! home design architectura series 18,punch ! software,129.99,2765,punch software 41100 punch ! home design architectural series 18,punch software,118.99,train-1258-2765,yes
90,emc retrospect 7.5 professional for windows upgrade,dantz,,2853,microsoft windows xp professional edition ( upgrade ),,199.99,train-90-2853,no
645,microsoft virtual pc for mac 7.0 with windows xp home,microsoft,219.99,2959,microsoft windows vista business full version,,249.95,train-645-2959,no
1236,pc cakewalk guitar tracks pro 3,cakewalk,149.99,1347,cakewalk guitar tracks pro 3 music production software,,99.0,train-1236-1347,yes
599,instant immersion french deluxe 2.0,topics entertainment,49.99,845,topics entertainment instant immersion italian 2.0,,17.55,train-599-845,no
565,adobe creative suite cs3 web premium [ mac ],adobe,1599.0,71,29270055 adobe creative suite 3 web standard complete package 1 user cd win uni,,1056.98,train-565-71,no
1177,microsoft office student and teacher edition 2004 macintosh,microsoft,149.99,1496,office mac student/teach 04,,146.02,train-1177-1496,yes
562,adobe dreamweaver cs3 upgrade [ mac ],adobe,199.0,897,adobe contribute cs3 upgrade,,82.99,train-562-897,no
1253,reel deal casino shuffle master edition,phantom efx,19.99,532,phantom efx reel deal casino shuffle master edition,,17.24,train-1253-532,yes
31,dinosaurs,topics entertainment,19.99,2006,topics presents : dinosaurs,,12.9,train-31-2006,yes
458,stationery design studio,summit software,19.99,2619,stationery design studio ( win 98 me 2000 xp ),,19.99,train-458-2619,yes
267,adobe photoshop elements 5.0 / premier elements 3.0 [ lb ],adobe,149.99,2503,adobe premiere elements 3 and photoshop elements 5 software for windows consumer video editing software,,149.95,train-267-2503,yes
1145,microsoft office 2004 standard ( mac ),microsoft,399.99,2877,microsoft office outlook 2007,,109.95,train-1145-2877,no
644,microspot macdraft pe ( mac ),microspot ltd.,99.95,2867,microsoft onenote 2007 ( pc ),,99.95,train-644-2867,no
616,microsoft windows vista home basic upgrade [ dvd ],microsoft,99.95,2848,microsoft onenote 2007 upgrade ( pc ),,79.95,train-616-2848,no
372,readiris pro 11 corporate edition,iris inc.,399.99,2827,readiris pro 11 corporate edition for pc,,349.99,train-372-2827,yes
1177,microsoft office student and teacher edition 2004 macintosh,microsoft,149.99,1512,microsoft w87-02380 office sbe 2007 win32,,400.34,train-1177-1512,no
571,microsoft visio standard 2007 version upgrade,microsoft,129.95,2497,office pro 2007 upgrade microsoft 269-10294,,257.71,train-571-2497,no
1066,the print shop design suite pro ed sb cs by the print shop,encore software,199.99,2036,encore software 10931 the print shop design suite proed sb cs by the print shop,,105.97,train-1066-2036,yes
866,system care professional,avanquest,49.95,2620,sony vegas 6 video editing software professional editing software,sony-pictures-digital-entertainment,99.0,train-866-2620,no
490,microsoft visual studio professional 2005 upgrade,microsoft software,549.0,1105,microsoft visual basic . net standard 2003,,108.95,train-490-1105,no
1098,rollercoaster tycoon 3 ( mac ),aspyr media,49.99,965,aspyr roller coaster tycoon 3 mac os x,,45.99,train-1098-965,yes
939,bias peak pro 5 macintosh ),bias,599.0,2274,bias peak pro 5 software music production software,,499.0,train-939-2274,yes
287,sibelius 5 professional edition,sibelius-software-ltd .,599.0,3024,sibelius sibelius 5 software music production software,sibelius-software-ltd .,449.95,train-287-3024,yes
621,entertainment partners budgeting ( mac ),entertainment partners,699.0,289,entertainment partners ep budgeting for film,,415.99,train-621-289,yes
41,imsi turbocad designer v. 11,imsi,39.99,2043,imsi turbocad designer 11,,12.9,train-41-2043,yes
1010,roxio easy media creator 9,roxio,99.95,2379,roxio easy media creator 9 suite software for windows authoring software,,98.95,train-1010-2379,yes
428,zonealarm anti-spyware,zone labs,29.99,2523,anti-spyware 3.0 win normal 1u new,,24.99,train-428-2523,no
557,adobe creative suite cs3 production premium,adobe,1699.0,3188,adobe creative suite 3 web standard complete package academic cd mac,,369.0,train-557-3188,no
548,quickbooks pro 2007 small business financial software,intuit,199.95,2301,intuit quickbooks simple start edition 2007 software for windows tax & finance software,,83.95,train-548-2301,no
1272,punch ! home design architectural series 18,punch ! software,129.99,2744,punch software 42100 punch ! home design architectural series 18 ( small box ),punch software,119.99,train-1272-2744,yes
1069,hasbro family game collection 2006,encore software,19.99,2049,encore software 11273 hasbro family collection 2006 sb cs by hasbro,,17.97,train-1069-2049,yes
182,home bartending 101 shooters,arc-media-inc .,19.95,1557,home bartending 101 shooters,arc-media-inc .,9.75,train-182-1557,yes
1100,poser 7 win 2000 xp mac os 10.4 & up,aladdin systems,199.99,2365,poser 7 ( win 2000 xp/mac 10.4 or higher ub ),,199.99,train-1100-2365,yes
587,microsoft word 2007 version upgrade,microsoft,109.95,342,microspot interiors version 3.6,,85.99,train-587-342,no
648,internet security barrier x4 antispam edition,intego inc,,305,intego inc internet security barrier x4 antispam edition,,71.75,train-648-305,yes
615,adobe creative suite cs3 design standard upgrade,adobe,399.0,1853,19300109 adobe creative suite 3 design standard product upgrade package 1 user upgr,,424.74,train-615-1853,no
443,microsoft windows small business server premium 2003 r2 upgrade cd/dvd 5 client,microsoft,709.0,2816,microsoft word 2007 upgrade ( pc ),,109.95,train-443-2816,no
548,quickbooks pro 2007 small business financial software,intuit,199.95,2122,make finale 2006 software music production software,,424.95,train-548-2122,no
781,microsoft excel 2004 ( mac ),microsoft,229.99,2257,microsoft excel 2004 spreadsheet software mac apple & mac software,,228.95,train-781-2257,yes
145,microsoft virtual pc for mac 7.0 with windows 2000,microsoft,249.99,2821,microsoft excel 2007 ( pc ),,229.95,train-145-2821,no
1117,dk rainbow fish most beautiful fish in the ocean,encore,9.99,1431,encore software a5992jch dk rainbow fish most beautiful fish in the ocean win 95 98 me xp,,9.08,train-1117-1431,yes
1302,scrabble with bonus clue,encore,19.99,2098,encore software 11611 scrabble with bonus clue sb cs by hasbro,,17.97,train-1302-2098,no
951,microspot macdraft professional ( mac ),microspot ltd.,349.99,891,microspot macdraft professional edition,,249.99,train-951-891,yes
588,adobe creative suite cs3 design standard [ mac ],adobe,1199.0,1763,29500244 adobe creative suite 3 design premium product upgrade package 1 user upgra,,1687.48,train-588-1763,no
897,adobe creative suite cs3 production premium upsell,adobe,1199.0,91,19280016dm adobe creative suite 3 master collection media tlp tlp nonprofit dvd ma,,18.88,train-897-91,no
1195,home design architect series 3000 v10 .0,punch ! software,149.95,2765,punch software 41100 punch ! home design architectural series 18,punch software,118.99,train-1195-2765,no
199,netmanage upg rumba unix-hp edition level 902453-007-c ),netmanage,,1717,902453-007-e rumba unix-hp edition upgrade license 1 user volume level e 1000-1999,,106.48,train-199-1717,yes
411,podmaxx '07,bling,29.99,2872,podmaxx '07 eb carlson,,29.99,train-411-2872,yes
832,global software smart steps 2nd grade windows macintosh ),global software,,2768,global software a0447jch dk smart steps 2nd grade win 95 98 me 2000 xp vista,,9.08,train-832-2768,yes
1093,final cut express 2.0 upgrade,apple computer,99.99,1409,apple software m9372z/a final cut express 2.0 upgrade,apple software,79.99,train-1093-1409,yes
723,learn2 training for microsoft excel,topics-entertainment-software - ( consignment ),9.99,2332,designing forms with microsoft office infopath 2007,,36.39,train-723-2332,no
1211,enteractive fps creator windows ),enteractive inc. .,,547,enteractive inc fps creator,,44.58,train-1211-547,yes
570,professor teaches windows xp,individual software,19.99,2270,individual software jce-wn5 professor teaches windows j/c,individual software,9.99,train-570-2270,no
1114,webroot spy sweeper antispyware 5.x,webroot software,29.95,1420,webroot software inc 66410 spy sweeper ( small box ) ( win 98 me 2000 xp ),,25.97,train-1114-1420,yes
604,microsoft office small business 2007 full version,microsoft,449.95,1512,microsoft w87-02380 office sbe 2007 win32,,400.34,train-604-1512,yes
627,reader rabbit kindergarten version 1.1,the learning company,9.99,2048,jumpstart kindergarten ( jc ),,9.9,train-627-2048,no
527,adobe premiere elements 3.0,adobe,99.99,3224,documents to go premium 7.0,,49.99,train-527-3224,no
1105,punch ! master landscape & home design,punch ! software,59.99,2009,punch software 26100 punch ! master landscape and home design ( small box ),punch software,45.99,train-1105-2009,yes
614,microsoft works suite 2006,microsoft,99.0,3204,microsoft ( r ) project 2002,,329.99,train-614-3204,no
932,registry mechanic 5.x pc system repair,pc tools,29.95,774,encore software 10598 registry mechanic win 98 me 2000 xp,,26.97,train-932-774,yes
52,instant home design ( jewel case ),topics entertainment,9.99,2082,instant home design 1 ( jc ),,12.9,train-52-2082,yes
1148,sibelius 4 professional edition,sibelius-software-ltd .,599.99,1485,diskeeper 2007 professional,,46.95,train-1148-1485,no
1284,punch ! master landscape & home design,punch ! software,99.99,1955,punch software 85100 master landscape professional & home design v 10.0,,61.8,train-1284-1955,no
516,adobe creative suite cs3 design premium upgrade [ mac ],adobe,599.0,372,adobe premiere pro cs3 upgrade,,308.99,train-516-372,no
1277,palo alto marketing plan pro 9.0,palo-alto-software,179.0,1031,palo alto software mpd9 palo alto marketing plan v. 9.0 pro complete product business planning 1 user complete product standard pc,palo-alto-software,149.97,train-1277-1031,yes
744,mariner calc speadsheet ( mac ),mariner software,59.99,360,mariner calc spreadsheet software,,52.99,train-744-360,yes
788,hoyle puzzle & board games,encore software,19.95,1593,encore 10025 hoyle card games for pc,encore,10.0,train-788-1593,no
956,apple logic pro 7.2 retail,apple,999.0,2291,apple/emagic logic pro 7.2 software music production software,,999.0,train-956-2291,yes
805,hoyle texas hold 'em poker ( jewel case ),encore,9.99,2580,encore software 33027 hoyle texas holdem ( win 98 me 2000 xp ),,8.44,train-805-2580,yes
507,raster design 2006 essentials,autodesk psg,59.95,1490,autodesk 34006-010008-160 raster design 2006 essentials,autodesk,52.99,train-507-1490,yes
689,family tree maker version 16 collectors edition,encore software,,3050,encore software 10891 family tree maker version 16 essential sb cs,,25.97,train-689-3050,no
1073,backyard sports backyard basketball and backyard football,humongous entertainment,19.99,1333,backyard sports : baseball 2007 for pc,,19.99,train-1073-1333,no
687,grisoft avg anti-virus & anti-spyware 2 year subscription,grisoft,39.95,249,grisoft avg anti-virus & anti-spyware,,32.29,train-687-249,yes
995,apple remote desktop 3 unlim managed systems,apple,499.0,383,apple remote desktop 3 unlimited managed systems,,499.99,train-995-383,yes
480,jumpstart world 1st grade,knowledge adventure,19.99,2457,knowledge adventure inc. 20223 jumpstart world 1st grade mini box,,16.93,train-480-2457,yes
1079,tropico 2 : pirate cove ( mac ),destineer inc,29.99,997,destineer tropico 2 : pirate cove,,29.99,train-1079-997,yes
1343,liquid ledger personal finance,csdc,79.99,645,csdc liquid ledger personal finance modeless software,,71.01,train-1343-645,yes
1167,micromat techtool protege with firewire device,micromat,,907,micromat techtool protege utility with 1gb firewire flash drive,,219.99,train-1167-907,yes
199,netmanage upg rumba unix-hp edition level 902453-007-c ),netmanage,,65,902453-007-b rumba unix-hp edition upgrade license 1 user volume level b 5-49 c,,147.73,train-199-65,yes
1208,tune tools for ipod ( win/mac ),valusoft,19.99,1680,listen for ipod magnetic time ( win 2000 xp ),sos-aggregation-company,39.99,train-1208-1680,no
1125,adobe solution expert support,adobe,299.0,1676,adobe 09951404 solution expert annu all,adobe,233.99,train-1125-1676,yes
961,vegas movie studiodvd +8 plat,sony media,129.95,2307,sony vegas movie studio + dvd v8 platinum edition video editing software professional editing software,,129.95,train-961-2307,yes
794,monopoly 3,encore,9.99,709,encore inc monopoly 3,,7.17,train-794-709,yes
986,cubase 4 competitive crossgrade,steinberg ( yamaha ),549.99,2238,steinberg cubase studio 4 software competitive crossgrade music production software,,199.99,train-986-2238,yes
114,quickbooks pos : pro multistore 6.0,intuit inc.,1399.95,1311,quickbooks ( r ),,178.99,train-114-1311,no
1008,norton internet security 2008 10 user,symantec,199.99,3095,f-secure internet security 2007 3 pcs ( global marketing partners ),global-marketing-partners,63.35,train-1008-3095,no
1258,punch ! home design architectura series 18,punch ! software,129.99,1048,punch software 42100 punch ! home design architectural series 18 complete product architectural 1 user ( s ) complete product standard english pc,,108.97,train-1258-1048,no
1098,rollercoaster tycoon 3 ( mac ),aspyr media,49.99,351,rollercoaster tycoon 3 soaked,,23.99,train-1098-351,no
857,cakewalk sonar home studio 6 xl,cakewalk,209.0,2505,cakewalk sonar home studio 6 xl software music production software,,159.0,train-857-2505,yes
1170,steinberg cubase 4 digital audio software,steinberg,999.99,2198,steinberg wavelab studio 6 audio editing software music production software,steinberg-media-technologies,299.95,train-1170-2198,no
1145,microsoft office 2004 standard ( mac ),microsoft,399.99,2195,microsoft microsoft office 2004 software suite mac apple & mac software,,399.95,train-1145-2195,yes
