id_left,title_left,manufacturer_left,price_left,title_right,manufacturer_right,price_right,text_src,id_right,text_tgt,candidates,labels
30,adobe fireworks cs3 [ mac ],adobe,299.0,['adobe fireworks cs3'],[nan],[309.99],adobe fireworks cs3 [ mac ]. adobe. 299.0,[428],['adobe fireworks cs3. nan. 309.99'],"['adobe fireworks cs3. nan. 309.99', '38039926 adobe fireworks cs3 complete package 1 user cd mac universal english. nan. 322.08', 'adobe photoshop cs3 for mac. nan. 609.99', 'adobe illustrator cs3 for mac. nan. 619.99', 'adobe fireworks cs3 academic. nan. 99.99', 'adobe flash cs3 professional ( mac ). nan. 699.0', 'adobe photoshop cs3 extended for mac. nan. 935.99', 'adobe illustrator cs3 for mac academic. adobe-education-box. 199.99', 'adobe indesign cs3 for mac. nan. 725.99', 'adobe illustrator cs3 ( mac ). nan. 599.0']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
31,dinosaurs,topics entertainment,19.99,['topics presents : dinosaurs'],[nan],[12.9],dinosaurs. topics entertainment. 19.99,[2006],['topics presents : dinosaurs. nan. 12.9'],"['topics presents : dinosaurs. nan. 12.9', 'encyclopedia britannica profiles : dinosaurs !. nan. 8.95', 'i spy mystery by topics entertainment. nan. 23.99', 'topics entertainment topics entertainment play electric guitar deluxe windows. nan. 39.9', 'fun for kids featuring disney preschool to kindergarten topics. nan. 29.99', 'scholastic brain play preschool to 1st grade topics. nan. 19.99', 'instant immersion italian 2.0. topics entertainment. 20.99', 'topics entertainment phonics success essentials. nan. 17.55', 'topics entertainment learn2 training for microsoft excel. topics-entertainment-software - ( consignment ). 6.56', 'national geographic photo gallery topics. nan. 9.95']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
37,my first bible stories,dorling-kindersley-multimedia - ( dk ),29.95,['my first bible stories ( jc )'],['dorling-kindersley-multimedia - ( dk )'],[9.9],my first bible stories. dorling-kindersley-multimedia - ( dk ). 29.95,[2031],['my first bible stories ( jc ). dorling-kindersley-multimedia - ( dk ). 9.9'],"['my first bible stories ( jc ). dorling-kindersley-multimedia - ( dk ). 9.9', ""the beginners bible : noah 's ark activity center : activity center. nan. 9.95"", 'smart steps 4th grade ( jc ). dorling-kindersley-multimedia - ( dk ). 11.95', 'mother goose interactive storybook. nan. 8.95', 'findex.com quickverse bible study 2007 mobile deluxe. nan. 24.99', 'fun for kids featuring disney preschool to kindergarten topics. nan. 29.99', 'tri synergy inc wisdom of the bible holy land edition. nan. 16.01', 'reader rabbit kindergarten special 2-cd edition. nan. 12.95', 'books by you ( pc/mac ) knowledge adventure. nan. 19.99', ""scholar 's library : logos bible software 3 on dvd-rom. nan. 472.46""]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
39,x-oom movie clone 3 gold,x-oom,,['xoom movie clone 3 gold'],[nan],[22.9],x-oom movie clone 3 gold. x-oom. nan,[2052],['xoom movie clone 3 gold. nan. 22.9'],"['xoom movie clone 3 gold. nan. 22.9', 'x-oom internet movies 2. nan. 22.9', 'filemover software utility. nan. 21.1', 'xbox 360 : call of action 3 gold edition. nan. 59.99', 'digital leisure inc mad dog 2 : the lost gold. nan. 15.27', 'feral interactive the movies. nan. 47.99', 'dvd moviefactory 6 plus. nan. 77.32', 'super collapse ! 3. nan. 22.99', 'shrek the third for pc. nan. 19.99', 'xbox 360 : marvel ultimate alliance gold. nan. 59.99']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
40,the print shop 22 deluxe,encore,49.99,['the printshop v22 deluxe'],[nan],[29.9],the print shop 22 deluxe. encore. 49.99,[2050],['the printshop v22 deluxe. nan. 29.9'],"['encore inc print shop 22 deluxe. nan. 42.69', 'the printshop v22 deluxe. nan. 29.9', 'print shop deluxe 21. nan. 44.9', 'encore software 10741 the print shop 22 deluxe sb cs by the print shop. nan. 42.97', 'encore inc print shop 22 pro publisher deluxe. nan. 85.07', 'the printshop pro publisher v22 deluxe dvd-rom. nan. 69.9', 'encore software 10038 encore the print shop v. 21.0 deluxe print management pc. nan. 41.97', 'the print shop ( r ) 22. nan. 29.99', 'encore software 10691 the print shop 22 sb cs by the print shop. nan. 25.97', 'encore software 10033 encore the print shop v. 21.0 complete product print management 1 user ( s ) complete product standard pc. nan. 25.97']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
41,imsi turbocad designer v. 11,imsi,39.99,['imsi turbocad designer 11'],[nan],[12.9],imsi turbocad designer v. 11. imsi. 39.99,[2043],['imsi turbocad designer 11. nan. 12.9'],"['imsi turbocad designer 11. nan. 12.9', 'imsi design llc turbocad mac 3d. nan. 204.67', 'turbocad ( r ) designer 2d/3d version 9.1. nan. 29.99', 'turbosketch ( tm ) studio. nan. 89.99', 'punch software 10603 concepts 3d cad design. nan. 247.97', 'punch software 85100 punch!master landscape pro v10 and home design. nan. 59.97', 'punch software master landscape professional & home design v 10.0. nan. 69.99', 'punch software 35100 punch ! home design suite professional complete product architectural standard 1 user ( s ) complete product pc. nan. 59.97', 'encore inc 3d home architect landscape design deluxe v 9.0. nan. 25.49', 'punch software professional home design platinum version 10. nan. 99.99']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
42,lavasoft ad-aware plus edition,tri synergy,29.99,['lavasoft ad-aware plus edition'],[nan],[24.9],lavasoft ad-aware plus edition. tri synergy. 29.99,[2068],['lavasoft ad-aware plus edition. nan. 24.9'],"['lavasoft ad-aware plus edition. nan. 24.9', 'anti-spyware 3.0 win normal 1u new. nan. 24.99', 'symantec norton anti-virus 2007 windows. nan. 39.99', 'symantec ( tm ) norton 360 ( tm ). nan. 79.99', 'mcafee virusscan plus 2007 ( pc ). nan. 39.99', 'pc tools spyware doctor 2007. nan. 29.99', 'zone labs zonealarm pro. nan. 30.17', 'mcafee personal firewall plus. nan. 39.97', 'webroot spy sweeper spanish edition ( pc ). nan. 29.99', 'webroot software window washer. nan. 29.99']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
43,clip art and more 250 000 ( jewel case ),imsi design,,['clipart & more 250000 ( jc )'],[nan],[9.9],clip art and more 250 000 ( jewel case ). imsi design. nan,[2066],['clipart & more 250000 ( jc ). nan. 9.9'],"['clipart & more 250000 ( jc ). nan. 9.9', 'cosmi print perfect clip art deluxe. nan. 6.99', 'clickart 950000 premier image pack ( dvd-rom ). nan. 48.95', 'imsi design llc turbocad mac 3d. nan. 204.67', 'cross stitch design studio ( jewel case ) ( 8006 ). m-and-r-technologies. 9.59', 'avery dennison 5695 cd/dvd design kit - lables jewel case inserts applicator & software. nan. 26.0', '24100 punch ! 5 in 1 home design complete package 1 user cd win. nan. 36.28', 'encore software 10466 clickart 1.2 million dvd 2006 by broderbund. nan. 41.97', 'bjmt art explosion photo objects 150000 complete package 1 user dvd mac. nan. 43.22', 'nova development corp ideasoft photo clip art 10000. nan. 7.81']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
45,elementary school success deluxe 2006,topics entertainment,49.99,['elementary school success deluxe 2006'],[nan],[15.9],elementary school success deluxe 2006. topics entertainment. 49.99,[2060],['elementary school success deluxe 2006. nan. 15.9'],"['elementary school success deluxe 2006. nan. 12.95', 'elementary school success deluxe 2006. nan. 15.9', 'middle school success deluxe 2008 ( pc/mac ) topics. nan. 49.99', 'topics entertainment 80796 topics math success 2007 deluxe for windows educational software pc. nan. 33.97', 'topics entertainment reference success deluxe 2006. nan. 22.9', 'math success ( tm ) deluxe 2007. nan. 49.99', 'math success deluxe 2006. nan. 12.9', 'phonics success deluxe 2006. nan. 22.9', 'elementary school space the universe ( pc/mac ) fogware. nan. 9.99', 'topics entertainment math success deluxe 2008. nan. 31.06']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
48,national geographic presents : forces of nature,topics entertainment,29.99,['national geographic : forces of nature'],[nan],[12.9],national geographic presents : forces of nature. topics entertainment. 29.99,[2074],['national geographic : forces of nature. nan. 12.9'],"['national geographic : forces of nature. nan. 12.9', 'national geographic photo gallery topics. nan. 9.95', 'redshift 5 ( national geographic presents ) ( win 98 me 2000 xp ). nan. 39.99', 'fun for kids featuring disney preschool to kindergarten topics. nan. 29.99', 'i spy mystery by topics entertainment. nan. 23.99', 'topics presents : dinosaurs. nan. 12.9', 'ares rising. nan. 29.95', 'zoboomafoo animal logic with workbook combo. nan. 9.95', 'scholastic brain play preschool to 1st grade topics. nan. 19.99', 'fogware hyb history dvd. nan. 21.99']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
51,mastercook deluxe low carb,valusoft,14.99,['mastercook deluxe low carb edition'],[nan],[17.9],mastercook deluxe low carb. valusoft. 14.99,[2092],['mastercook deluxe low carb edition. nan. 17.9'],"['mastercook deluxe low carb edition. nan. 17.9', 'dvo enterprises inc. cookn deluxe 6.0. nan. 34.99', 'print workshop 2007 ( pc ) valusoft. nan. 19.99', 'microsoft ( r ) money 2007 deluxe. nan. 49.99', 'quicken ( r ) 2004 deluxe. nan. 59.99', 'individual software anytime organizer deluxe 10. nan. 27.99', 'encore software 14111 jeopardy! deluxe. nan. 17.97', 'mp3 maker 12 deluxe : windows. nan. 29.99', 'individual software inc small business advantage deluxe. nan. 16.9', 'broderbund ultimate print and craft suite. nan. 49.99']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
52,instant home design ( jewel case ),topics entertainment,9.99,['instant home design 1 ( jc )'],[nan],[12.9],instant home design ( jewel case ). topics entertainment. 9.99,[2082],['instant home design 1 ( jc ). nan. 12.9'],"['instant home design 3.0. nan. 15.9', 'instant home design 1 ( jc ). nan. 12.9', 'cross stitch design studio ( jewel case ) ( 8006 ). m-and-r-technologies. 9.59', 'total 3d home deluxe ( jewel case ) ( jce-th6 ). nan. 9.59', 'instant home cooking. nan. 9.95', 'encore inc 3d home architect home design deluxe version 9. nan. 25.49', 'topics entertainment instant immersion italian deluxe 2.0 ( mass merchant box ). nan. 31.06', 'avery dennison 5695 cd/dvd design kit - lables jewel case inserts applicator & software. nan. 26.0', 'instant immersion italian 2.0. topics entertainment. 20.99', 'instant landscape design 3.0. nan. 17.9']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
53,boomerang webshop platinum,boomerang,,['web shop platinum'],[nan],[36.9],boomerang webshop platinum. boomerang. nan,[2084],['web shop platinum. nan. 36.9'],"['web shop platinum. nan. 36.9', 'elibrium webshop platinum. nan. 77.33', 'ghostsurf 2006 platinum. nan. 14.95', 'ghostsurf ( tm ) 2007 platinum. nan. 29.99', 'printmaster platinum 16. nan. 19.95', 'omni web 5.0. nan. 23.99', 'feral interactive limited black & white platinum pack. nan. 27.37', 'printmaster ( r ) platinum 16. nan. 39.97', 'print shop deluxe 21. nan. 44.9', 'print perfect ( tm ) platinum. nan. 29.99']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
56,kids power fun for little ones,topics entertainment,19.99,['kids power fun for little ones'],[nan],[15.9],kids power fun for little ones. topics entertainment. 19.99,[2099],['kids power fun for little ones. nan. 15.9'],"['kids power fun for little ones. nan. 15.9', 'kids power fun for kids. nan. 15.9', 'kids power fun for girls. nan. 15.9', 'fun for kids featuring disney preschool to kindergarten topics. nan. 29.99', 'scholastic brain play preschool to 1st grade topics. nan. 19.99', 'brain play preschool 1st grade. nan. 25.99', 'reader rabbit playtime for baby & toddler. nan. 9.9', 'sudoku for kids. nan. 9.99', 'boohbah zone by brighter minds. nan. 19.99', 'individual software typing instructor for kids. nan. 19.99']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
57,museums of the world,topics entertainment,19.99,['topics presents : museums of world'],[nan],[12.9],museums of the world. topics entertainment. 19.99,[2101],['topics presents : museums of world. nan. 12.9'],"['topics presents : museums of world. nan. 12.9', 'topics entertainment topics entertainment play electric guitar deluxe windows. nan. 39.9', 'i spy mystery by topics entertainment. nan. 23.99', 'topics entertainment learn2 training for microsoft excel. topics-entertainment-software - ( consignment ). 6.56', 'national geographic photo gallery topics. nan. 9.95', 'instant immersion 33 languages. topics entertainment. 43.99', 'instant immersion italian 2.0. topics entertainment. 20.99', 'topics presents : dinosaurs. nan. 12.9', 'topics entertainment in their own words wwii ( audiobook ). nan. 14.56', 'topics presents : ancient civilizations. nan. 12.9']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
58,matchbox cross-town heroes,thq,19.99,['matchbox cross town heros'],[nan],[14.9],matchbox cross-town heroes. thq. 19.99,[2113],['matchbox cross town heros. nan. 14.9'],"['matchbox cross town heros. nan. 14.9', 'sony playstation 2 : justice league heroes. nan. 29.99', 'thq 36118 danny phantom : urban jungle action/adventure game nintendo ds. nan. 20.97', 'nintendo gamecube sonic heroes/shadow the hedgehog 2 pk. nan. 29.99', 'nintendo gamecube : sonic heroes. nan. 19.95', 'xbox : scarface : the world is yours. nan. 39.99', 'heroes of might and magic v. nan. 47.99', 'nicktoons winners cup racing for pc. nan. 19.99', 'xbox 360 : crackdown. nan. 59.99', 'fisher-price rescue heroes : hurricane havoc. nan. 8.95']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
59,studyworks ! teaching pro : middle school math & science ( win/mac ),global-software-publishing,29.99,['middle school math & science'],['global-software-publishing'],[12.9],studyworks ! teaching pro : middle school math & science ( win/mac ). global-software-publishing. 29.99,[2119],['middle school math & science. global-software-publishing. 12.9'],"['middle school math & science. global-software-publishing. 12.9', 'weekly reader mastering elementary & middle school math ( pc/mac ) fogware. nan. 19.99', 'middle school success deluxe 2008 ( pc/mac ) topics. nan. 49.99', 'middle school life science classification & ecology ( pc/mac ) fogware. nan. 9.99', 'encore software 10590 adventure workshop preschool 1st grade 7th ed sb cs by riverdeep. nan. 17.97', 'encore software 12370 middle school advantage 2008 win 2000 xp vista. nan. 34.97', 'fogware publishing weekly reader ls mastering elementary & middle school math. nan. 16.93', 'encore software 10118 adventure workshop 4th-6th grade 7th ed sb cs by riverdeep. nan. 17.97', 'encore software 10114 adventure workshop 1st-3rd grade 7th ed sb cs by riverdeep. nan. 17.97', 'encore software 10119 adventure workshop 4th-6th grade 7th edition win xp. nan. 18.97']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
64,kids power fun for kids,topics entertainment,19.99,['kids power fun for kids'],[nan],[15.9],kids power fun for kids. topics entertainment. 19.99,[2121],['kids power fun for kids. nan. 15.9'],"['kids power fun for kids. nan. 15.9', 'kids power fun for little ones. nan. 15.9', 'kids power fun for girls. nan. 15.9', 'fun for kids featuring disney preschool to kindergarten topics. nan. 29.99', 'scholastic brain play preschool to 1st grade topics. nan. 19.99', 'sudoku for kids. nan. 9.99', 'brain play preschool 1st grade. nan. 25.99', 'individual software typing instructor for kids. nan. 19.99', 'topics entertainment topics entertainment play electric guitar deluxe windows. nan. 39.9', 'learn2 training for microsoft powerpoint ( win 95 98 me nt 2000 xp ). topics-entertainment-software - ( consignment ). 9.99']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
65,custom landdesigner 3d design 7.0,sierra on-line,,['custom land designer 3d 7.0'],[nan],[12.9],custom landdesigner 3d design 7.0. sierra on-line. nan,[2125],['custom land designer 3d 7.0. nan. 12.9'],"['custom land designer 3d 7.0. nan. 12.9', 'encore inc 3d home architect landscape design deluxe v 9.0. nan. 25.49', 'encore inc 3d home architect landscape designer v 8.0. nan. 25.49', 'individual software inc total 3d home & landscape deluxe 9. nan. 33.5', 'encore software 13931 3d home architect landscape design deluxe version 9. nan. 25.97', '3d home architect landscape v. 8by encore software. nan. 26.36', 'encore software 10636 3d home architect landscape v. 8by. nan. 25.97', 'instant landscape design 3.0. nan. 17.9', 'punch software master landscape professional & home design v 10.0. nan. 69.99', 'encore inc 3d home architect home design deluxe version 9. nan. 25.49']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
68,mom standard ops mgmt lic 2005 english mlp 5 oml,microsoft,,['mom standard ops mgmt lic 2005 english mlp 5 oml'],[nan],[889.99],mom standard ops mgmt lic 2005 english mlp 5 oml. microsoft. nan,[1578],['mom standard ops mgmt lic 2005 english mlp 5 oml. nan. 889.99'],"['mom standard ops mgmt lic 2005 english mlp 5 oml. nan. 889.99', 'sql server std 2005 5-clt x64 microsoft 228-04013. nan. 1471.93', 'u84-00101 microsoft windows server 2003 for small business license 5 device cals ope. nan. 303.9', 'publisher 2007 upgrade microsoft 164-04052. nan. 69.71', 'ca olp bps midsize bus win r2 base +50 u lic 2y entmnt cabpmsnaen200c5. nan. 5788.0', 'microsoft molpc l/sa csf sbe order handling sbe 400pt b7m-00255. nan. 154550.0', 'microsoft e32-00575 sql server 2005 developer edition x64 complete product dbms 1 developer ( s ) complete product standard english pc. nan. 43.97', 'dja-00892 microsoft system center essentials 2007 license 1 server win english. nan. 93.25', 'exmpi550001m1200p exceed 2007 license + 1 year maintenance 1 user win. nan. 535.08', 'microsoft ( r ) project standard 2007. nan. 599.95']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
